pnum,age,sex,bto_species_code,bto_ring,date,time,yr,nb,retrap,imm_res
19831EX8,1,F,GRETI,NK59969,04/06/1983,00:00,1983,EX8,N,resident
19841CP9,1,F,GRETI,NN87162,09/06/1984,00:00,1984,CP9,N,resident
19851B36,1,F,GRETI,NN88184,26/05/1985,00:00,1985,B36,N,resident
19851EX35A,1,F,GRETI,NN86962,31/05/1985,00:00,1985,EX35A,N,resident
19851CP17,1,M,GRETI,NN86098,02/06/1985,00:00,1985,CP17,N,resident
19851O63,1,F,GRETI,NN86238,03/06/1985,00:00,1985,O63,N,resident
19851SW14,1,M,GRETI,NN87697,03/06/1985,00:00,1985,SW14,N,resident
19851EX79,1,F,GRETI,NN86125,03/06/1985,00:00,1985,EX79,N,resident
19851SW70,1,F,GRETI,NN86601,04/06/1985,00:00,1985,SW70,N,resident
19851C9,1,M,GRETI,NC10792,07/06/1985,00:00,1985,C9,N,resident
19851W104,1,F,GRETI,NN87754,07/06/1985,00:00,1985,W104,N,resident
19851C53,1,M,GRETI,NN88109,07/06/1985,00:00,1985,C53,N,resident
19851O59,1,M,GRETI,NN86345,13/06/1985,00:00,1985,O59,N,resident
19861O69,1,M,GRETI,NN35555,08/06/1986,00:00,1986,O69,N,resident
19861O69,1,M,GRETI,NN35551,08/06/1986,00:00,1986,O69,N,resident
19861O81,1,F,GRETI,NN35580,09/06/1986,00:00,1986,O81,N,resident
19861SW105,1,M,GRETI,NN35610,10/06/1986,00:00,1986,SW105,N,resident
19861SW105,1,F,GRETI,NN35609,10/06/1986,00:00,1986,SW105,N,resident
19861O6,1,NA,GRETI,NN35612,11/06/1986,00:00,1986,O6,N,resident
19861O65,1,M,GRETI,NN35629,11/06/1986,00:00,1986,O65,N,resident
19861W83,1,F,GRETI,VB54119,12/06/1986,00:00,1986,W83,N,resident
19861SW134,1,F,GRETI,NN35662,12/06/1986,00:00,1986,SW134,N,resident
19861O105,1,M,GRETI,NN35726,13/06/1986,00:00,1986,O105,N,resident
19861O64,1,M,GRETI,NN35792,16/06/1986,00:00,1986,O64,N,resident
19861SW16,1,M,GRETI,NN35821,17/06/1986,00:00,1986,SW16,N,resident
19861O25,1,F,GRETI,NN35850,17/06/1986,00:00,1986,O25,N,resident
19861SW16,1,M,GRETI,NN35827,17/06/1986,00:00,1986,SW16,N,resident
19861O41,1,F,GRETI,NN35843,17/06/1986,00:00,1986,O41,N,resident
19861O21,1,M,GRETI,NN35853,18/06/1986,00:00,1986,O21,N,resident
19861EX49A,1,M,GRETI,VB54285,20/06/1986,00:00,1986,EX49A,N,resident
19871O20,1,F,GRETI,VB55034,26/05/1987,00:00,1987,O20,N,resident
19871O38A,1,M,GRETI,VB55008,26/05/1987,00:00,1987,O38A,N,resident
19871SW124,1,F,GRETI,VB55023,27/05/1987,00:00,1987,SW124,N,resident
19871O77,1,F,GRETI,VB55121,29/05/1987,00:00,1987,O77,N,resident
19871O47,1,F,GRETI,VB55155,29/05/1987,00:00,1987,O47,N,resident
19871O95,1,M,GRETI,VB55208,30/05/1987,00:00,1987,O95,N,resident
19871O39,1,M,GRETI,VB55271,30/05/1987,00:00,1987,O39,N,resident
19871SW127,1,M,GRETI,VB55324,31/05/1987,00:00,1987,SW127,N,resident
19871SW101,1,F,GRETI,VB55291,31/05/1987,00:00,1987,SW101,N,resident
19871O46,1,M,GRETI,VB55405,02/06/1987,00:00,1987,O46,N,resident
19871O46,1,M,GRETI,VB55401,02/06/1987,00:00,1987,O46,N,resident
19911B137,1,M,GRETI,VH83831,04/06/1991,00:00,1991,B137,N,resident
19961W52,1,NA,GRETI,VR90280,07/06/1996,00:00,1996,W52,N,resident
19961EX89,1,M,GRETI,VR90320,09/06/1996,00:00,1996,EX89,N,resident
19971C18,1,M,GRETI,VR26119,20/05/1997,00:00,1997,C18,N,resident
19981MP42,1,M,GRETI,VX12166,25/05/1998,00:00,1998,MP42,N,resident
19981MP53,1,M,GRETI,VX12192,27/05/1998,00:00,1998,MP53,N,resident
19981W94,1,M,GRETI,VN57986,27/05/1998,00:00,1998,W94,N,resident
19981EX17,1,NA,GRETI,7,04/06/1998,00:00,1998,EX17,N,resident
19981W11,1,M,GRETI,VX13610,05/06/1998,00:00,1998,W11,N,resident
19991W57,1,M,GRETI,VX13726,20/05/1999,00:00,1999,W57,N,resident
19991C4,1,F,GRETI,VN87317,21/05/1999,00:00,1999,C4,N,resident
19991SW12,1,M,GRETI,VR91849,01/06/1999,00:00,1999,SW12,N,resident
20001C108,1,F,GRETI,VN87380,23/05/2000,00:00,2000,C108,N,resident
20001W100,1,F,GRETI,VS83731,23/05/2000,00:00,2000,W100,N,resident
20001MP71,1,M,GRETI,VS84537,24/05/2000,00:00,2000,MP71,N,resident
20001MP71,1,M,GRETI,VS84536,24/05/2000,00:00,2000,MP71,N,resident
20001MP68,1,F,GRETI,VS84546,25/05/2000,00:00,2000,MP68,N,resident
20001W44,1,M,GRETI,VS83758,25/05/2000,00:00,2000,W44,N,resident
20001CP33,1,F,GRETI,VS83747,25/05/2000,00:00,2000,CP33,N,resident
20001MP44,1,M,GRETI,VS84713,26/05/2000,00:00,2000,MP44,N,resident
20001MP77,1,F,GRETI,VS84727,26/05/2000,00:00,2000,MP77,N,resident
20001W59,1,M,GRETI,VS83783,27/05/2000,00:00,2000,W59,N,resident
20001CP41,1,M,GRETI,VS83800,27/05/2000,00:00,2000,CP41,N,resident
20001B100,1,M,GRETI,VS84629,28/05/2000,00:00,2000,B100,N,resident
20001B115,1,F,GRETI,VS84619,28/05/2000,00:00,2000,B115,N,resident
20001EX18,1,F,GRETI,VS84386,29/05/2000,00:00,2000,EX18,N,resident
20001MP1,1,M,GRETI,VS84810,29/05/2000,00:00,2000,MP1,N,resident
20001SW72,1,M,GRETI,VF64081,30/05/2000,00:00,2000,SW72,N,resident
20001O49,1,F,GRETI,VF64090,30/05/2000,00:00,2000,O49,N,resident
20001CP15,1,M,GRETI,VF64404,31/05/2000,00:00,2000,CP15,N,resident
20001CP3,1,M,GRETI,VF64411,31/05/2000,00:00,2000,CP3,N,resident
20001P4,1,F,GRETI,VF64135,31/05/2000,00:00,2000,P4,N,resident
20001MP12,1,F,GRETI,VS84876,01/06/2000,00:00,2000,MP12,N,resident
20001EX30,1,M,GRETI,VF64506,01/06/2000,00:00,2000,EX30,N,resident
20001EX49A,1,M,GRETI,VF64533,02/06/2000,00:00,2000,EX49A,N,resident
20001O112,1,M,GRETI,VF64229,03/06/2000,00:00,2000,O112,N,resident
20001CP32,1,F,GRETI,VF64602,03/06/2000,00:00,2000,CP32,N,resident
20001P11,1,F,GRETI,VF64275,04/06/2000,00:00,2000,P11,N,resident
20001P11,1,F,GRETI,VF64273,04/06/2000,00:00,2000,P11,N,resident
20001P11,1,M,GRETI,VF64271,04/06/2000,00:00,2000,P11,N,resident
20001P11,1,M,GRETI,VF64269,04/06/2000,00:00,2000,P11,N,resident
20001CP4,1,M,GRETI,VF64628,04/06/2000,00:00,2000,CP4,N,resident
20001W79,1,F,GRETI,VF64622,04/06/2000,00:00,2000,W79,N,resident
20001W54,1,M,GRETI,VF64655,05/06/2000,00:00,2000,W54,N,resident
20001B192,1,F,GRETI,VF64943,06/06/2000,00:00,2000,B192,N,resident
20001CP24,1,M,GRETI,VF64700,12/06/2000,00:00,2000,CP24,N,resident
20011EX75A,1,M,GRETI,VT33243,13/05/2001,00:00,2001,EX75A,N,resident
20011W19,1,M,GRETI,VF64753,28/05/2001,00:00,2001,W19,N,resident
20011MP73,1,F,GRETI,VS83016,29/05/2001,00:00,2001,MP73,N,resident
20011O75B,1,F,GRETI,VT34052,29/05/2001,00:00,2001,O75B,N,resident
20011C134,1,M,GRETI,VF63649,30/05/2001,00:00,2001,C134,N,resident
20011W99A,1,F,GRETI,VF64768,30/05/2001,00:00,2001,W99A,N,resident
20011W16,1,M,GRETI,VF64776,30/05/2001,00:00,2001,W16,N,resident
20011W4A,1,M,GRETI,VF64795,30/05/2001,00:00,2001,W4A,N,resident
20011B123,1,M,GRETI,VS83115,01/06/2001,00:00,2001,B123,N,resident
20011W7,1,F,GRETI,VT34740,01/06/2001,00:00,2001,W7,N,resident
20011W7,1,F,GRETI,VT34739,01/06/2001,00:00,2001,W7,N,resident
20011EX62A,1,M,GRETI,VT34730,01/06/2001,00:00,2001,EX62A,N,resident
20011W66,1,F,GRETI,VT34759,01/06/2001,00:00,2001,W66,N,resident
20011EX80,1,M,GRETI,VT34774,02/06/2001,00:00,2001,EX80,N,resident
20011W21,1,M,GRETI,VT34793,02/06/2001,00:00,2001,W21,N,resident
20011O96,1,M,GRETI,VT34174,03/06/2001,00:00,2001,O96,N,resident
20011B205,1,M,GRETI,VS83127,03/06/2001,00:00,2001,B205,N,resident
20011B205,1,F,GRETI,VS83126,03/06/2001,00:00,2001,B205,N,resident
20011B68,1,F,GRETI,VS83171,03/06/2001,00:00,2001,B68,N,resident
20011MP20,1,M,GRETI,VS83235,05/06/2001,00:00,2001,MP20,N,resident
20011EX18A,1,F,GRETI,VT33014,05/06/2001,00:00,2001,EX18A,N,resident
20011C128,1,F,GRETI,VT34632,05/06/2001,00:00,2001,C128,N,resident
20011CP25,1,M,GRETI,VT33031,06/06/2001,00:00,2001,CP25,N,resident
20011SW80,1,M,GRETI,VT34384,07/06/2001,00:00,2001,SW80,N,resident
20011W13,1,M,GRETI,VT33143,07/06/2001,00:00,2001,W13,N,resident
20011W93,1,M,GRETI,VF64355,08/06/2001,00:00,2001,W93,N,resident
20011SW82,1,M,GRETI,VT34400,08/06/2001,00:00,2001,SW82,N,resident
20011MP63,1,M,GRETI,VS83344,10/06/2001,00:00,2001,MP63,N,resident
20011O93,1,M,GRETI,VT34542,17/06/2001,00:00,2001,O93,N,resident
20021O75C,1,M,GRETI,VT33840,10/05/2002,00:00,2002,O75C,N,resident
20021W69,1,M,GRETI,VT33317,12/05/2002,00:00,2002,W69,N,resident
20021B154,1,M,GRETI,TA16008,13/05/2002,00:00,2002,B154,N,resident
20021SW62,1,F,GRETI,VT33801,14/05/2002,00:00,2002,SW62,N,resident
20021MP93,1,F,GRETI,TA16059,15/05/2002,00:00,2002,MP93,N,resident
20021B30,1,M,GRETI,TA16054,15/05/2002,00:00,2002,B30,N,resident
20021MP93,1,F,GRETI,TA16060,15/05/2002,00:00,2002,MP93,N,resident
20021MP34,1,F,GRETI,TA16034,15/05/2002,00:00,2002,MP34,N,resident
20021MP45,1,F,GRETI,TA16029,15/05/2002,00:00,2002,MP45,N,resident
20021EX29A,1,F,GRETI,VT33381,15/05/2002,00:00,2002,EX29A,N,resident
20021EX29A,1,M,GRETI,VT33379,15/05/2002,00:00,2002,EX29A,N,resident
20021MP74,1,M,GRETI,TA16067,15/05/2002,00:00,2002,MP74,N,resident
20021W75A,1,F,GRETI,VT33396,15/05/2002,00:00,2002,W75A,N,resident
20021W75A,1,F,GRETI,VT33395,15/05/2002,00:00,2002,W75A,N,resident
20021C30,1,F,GRETI,TA15031,15/05/2002,00:00,2002,C30,N,resident
20021W40,1,NA,GRETI,VT33472,16/05/2002,00:00,2002,W40,N,resident
20021EX57,1,M,GRETI,VT33419,16/05/2002,00:00,2002,EX57,N,resident
20021MP52,1,F,GRETI,TA16088,16/05/2002,00:00,2002,MP52,N,resident
20021MP52,1,F,GRETI,TA16082,16/05/2002,00:00,2002,MP52,N,resident
20021MP20,1,M,GRETI,TA16125,16/05/2002,00:00,2002,MP20,N,resident
20021B152,1,F,GRETI,TA16153,16/05/2002,00:00,2002,B152,N,resident
20021EX68,1,M,GRETI,VT33486,17/05/2002,00:00,2002,EX68,N,resident
20021C153,1,M,GRETI,TA15058,17/05/2002,00:00,2002,C153,N,resident
20021SW89,1,M,GRETI,VT33854,17/05/2002,00:00,2002,SW89,N,resident
20021SW89,1,M,GRETI,VT33853,17/05/2002,00:00,2002,SW89,N,resident
20021MP76,1,M,GRETI,TA16189,17/05/2002,00:00,2002,MP76,N,resident
20021MP76,1,F,GRETI,TA16188,17/05/2002,00:00,2002,MP76,N,resident
20021MP76,1,M,GRETI,TA16185,17/05/2002,00:00,2002,MP76,N,resident
20021MP76,1,F,GRETI,TA16181,17/05/2002,00:00,2002,MP76,N,resident
20021MP76,1,F,GRETI,TA16184,17/05/2002,00:00,2002,MP76,N,resident
20021B51,1,M,GRETI,TA16221,17/05/2002,00:00,2002,B51,N,resident
20021MP7,1,F,GRETI,TA16201,17/05/2002,00:00,2002,MP7,N,resident
20021O105,1,M,GRETI,VT33956,17/05/2002,00:00,2002,O105,N,resident
20021C151,1,F,GRETI,TA15081,18/05/2002,00:00,2002,C151,N,resident
20021EX20,1,F,GRETI,VT33566,18/05/2002,00:00,2002,EX20,N,resident
20021W77,1,M,GRETI,VT33595,18/05/2002,00:00,2002,W77,N,resident
20021C9,1,M,GRETI,TA15099,18/05/2002,00:00,2002,C9,N,resident
20021CP15,1,F,GRETI,VT33545,18/05/2002,00:00,2002,CP15,N,resident
20021EX14B,1,M,GRETI,VT33550,18/05/2002,00:00,2002,EX14B,N,resident
20021CP42A,1,F,GRETI,VT33529,18/05/2002,00:00,2002,CP42A,N,resident
20021EX41,1,F,GRETI,VT33530,18/05/2002,00:00,2002,EX41,N,resident
20021EX41,1,F,GRETI,VT33533,18/05/2002,00:00,2002,EX41,N,resident
20021MP13,1,M,GRETI,TA16269,18/05/2002,00:00,2002,MP13,N,resident
20021B207,1,M,GRETI,TA16274,18/05/2002,00:00,2002,B207,N,resident
20021B207,1,M,GRETI,TA16276,18/05/2002,00:00,2002,B207,N,resident
20021MP71,1,F,GRETI,TA16238,18/05/2002,00:00,2002,MP71,N,resident
20021MP71,1,M,GRETI,TA16240,18/05/2002,00:00,2002,MP71,N,resident
20021MP71,1,M,GRETI,TA16239,18/05/2002,00:00,2002,MP71,N,resident
20021O115,1,M,GRETI,VT33942,18/05/2002,00:00,2002,O115,N,resident
20021O81,1,M,GRETI,VT33967,18/05/2002,00:00,2002,O81,N,resident
20021W73,1,NA,GRETI,VT33700,19/05/2002,00:00,2002,W73,N,resident
20021W42,1,M,GRETI,VT33691,19/05/2002,00:00,2002,W42,N,resident
20021W42,1,M,GRETI,VT33693,19/05/2002,00:00,2002,W42,N,resident
20021W99A,1,F,GRETI,VT33723,19/05/2002,00:00,2002,W99A,N,resident
20021W75,1,M,GRETI,VT33709,19/05/2002,00:00,2002,W75,N,resident
20021W42,1,NA,GRETI,VT33683,19/05/2002,00:00,2002,W42,N,resident
20021MP70,1,M,GRETI,TA16299,19/05/2002,00:00,2002,MP70,N,resident
20021EX26,1,NA,GRETI,VT33778,20/05/2002,00:00,2002,EX26,N,resident
20021EX26,1,NA,GRETI,VT33777,20/05/2002,00:00,2002,EX26,N,resident
20021EX26,1,M,GRETI,VT33785,20/05/2002,00:00,2002,EX26,N,resident
20021EX92,1,NA,GRETI,VT33747,20/05/2002,00:00,2002,EX92,N,resident
20021W17,1,M,GRETI,VT33760,20/05/2002,00:00,2002,W17,N,resident
20021P6,1,M,GRETI,TA15484,20/05/2002,00:00,2002,P6,N,resident
20021B161,1,F,GRETI,TA16386,20/05/2002,00:00,2002,B161,N,resident
20021B24,1,F,GRETI,TA16360,20/05/2002,00:00,2002,B24,N,resident
20021B155,1,M,GRETI,TA16398,21/05/2002,00:00,2002,B155,N,resident
20021B155,1,M,GRETI,TA16399,21/05/2002,00:00,2002,B155,N,resident
20021C57,1,M,GRETI,TA15195,21/05/2002,00:00,2002,C57,N,resident
20021MP9,1,M,GRETI,TA16432,21/05/2002,00:00,2002,MP9,N,resident
20021C57,1,F,GRETI,TA15200,21/05/2002,00:00,2002,C57,N,resident
20021B86,1,M,GRETI,TA16436,21/05/2002,00:00,2002,B86,N,resident
20021B86,1,M,GRETI,TA16440,21/05/2002,00:00,2002,B86,N,resident
20021SW80A,1,NA,GRETI,TA15528,21/05/2002,00:00,2002,SW80A,N,resident
20021P15,1,M,GRETI,TA15522,21/05/2002,00:00,2002,P15,N,resident
20021SW80A,1,F,GRETI,TA15531,21/05/2002,00:00,2002,SW80A,N,resident
20021SW126,1,NA,GRETI,TA15561,21/05/2002,00:00,2002,SW126,N,resident
20021W61,1,F,GRETI,TA16721,21/05/2002,00:00,2002,W61,N,resident
20021EX70,1,M,GRETI,VT33791,21/05/2002,00:00,2002,EX70,N,resident
20021EX70,1,M,GRETI,VT33790,21/05/2002,00:00,2002,EX70,N,resident
20021W87,1,F,GRETI,TA16761,22/05/2002,00:00,2002,W87,N,resident
20021W87,1,F,GRETI,TA16757,22/05/2002,00:00,2002,W87,N,resident
20021EX28,1,F,GRETI,TA16800,22/05/2002,00:00,2002,EX28,N,resident
20021CP35,1,F,GRETI,TA16786,22/05/2002,00:00,2002,CP35,N,resident
20021B25,1,M,GRETI,TA16467,22/05/2002,00:00,2002,B25,N,resident
20021MP83,1,M,GRETI,TA16463,22/05/2002,00:00,2002,MP83,N,resident
20021MP46,1,F,GRETI,TA16457,22/05/2002,00:00,2002,MP46,N,resident
20021B11,1,M,GRETI,TA16472,22/05/2002,00:00,2002,B11,N,resident
20021C37,1,M,GRETI,TA15227,23/05/2002,00:00,2002,C37,N,resident
20021W3,1,F,GRETI,TA16843,23/05/2002,00:00,2002,W3,N,resident
20021W3,1,M,GRETI,TA16845,23/05/2002,00:00,2002,W3,N,resident
20021W58,1,M,GRETI,TA16833,23/05/2002,00:00,2002,W58,N,resident
20021B131,1,M,GRETI,TA16514,24/05/2002,00:00,2002,B131,N,resident
20021W24,1,M,GRETI,TA16909,24/05/2002,00:00,2002,W24,N,resident
20021EX4,1,F,GRETI,TA16861,24/05/2002,00:00,2002,EX4,N,resident
20021EX43C,1,F,GRETI,TA16928,25/05/2002,00:00,2002,EX43C,N,resident
20021O79,1,F,GRETI,TA15666,25/05/2002,00:00,2002,O79,N,resident
20021CP24,1,F,GRETI,TA16957,26/05/2002,00:00,2002,CP24,N,resident
20021B21,1,F,GRETI,TA16577,26/05/2002,00:00,2002,B21,N,resident
20021O59,1,F,GRETI,TA15730,27/05/2002,00:00,2002,O59,N,resident
20021O59,1,F,GRETI,TA15724,27/05/2002,00:00,2002,O59,N,resident
20021CP17,1,F,GRETI,VR27854,31/05/2002,00:00,2002,CP17,N,resident
20022SW12,1,M,GRETI,TA16634,21/06/2002,00:00,2002,SW12,N,resident
20031MP35,1,F,GRETI,TB21507,14/05/2003,00:00,2003,MP35,N,resident
20031C15,1,F,GRETI,TA15246,16/05/2003,00:00,2003,C15,N,resident
20031MP79,1,M,GRETI,TB21524,18/05/2003,00:00,2003,MP79,N,resident
20031MP77,1,M,GRETI,TB21528,20/05/2003,00:00,2003,MP77,N,resident
20031MP77,1,M,GRETI,TB21532,20/05/2003,00:00,2003,MP77,N,resident
20031C109,1,F,GRETI,TA15272,23/05/2003,00:00,2003,C109,N,resident
20031MP63,1,NA,GRETI,TB21561,23/05/2003,00:00,2003,MP63,N,resident
20031MP63,1,F,GRETI,TB21562,23/05/2003,00:00,2003,MP63,N,resident
20031EX35,1,F,GRETI,VF64811,25/05/2003,00:00,2003,EX35,N,resident
20031O11,1,M,GRETI,VF63055,25/05/2003,00:00,2003,O11,N,resident
20031W55,1,F,GRETI,VF64839,25/05/2003,00:00,2003,W55,N,resident
20031EX31A,1,F,GRETI,VF64824,25/05/2003,00:00,2003,EX31A,N,resident
20031B69,1,M,GRETI,TB21620,25/05/2003,00:00,2003,B69,N,resident
20031W71,1,M,GRETI,VF64874,26/05/2003,00:00,2003,W71,N,resident
20031O47,1,F,GRETI,VF63067,26/05/2003,00:00,2003,O47,N,resident
20031O47,1,M,GRETI,VF63063,26/05/2003,00:00,2003,O47,N,resident
20031P4,1,F,GRETI,TB21644,26/05/2003,00:00,2003,P4,N,resident
20031B62A,1,M,GRETI,TB21648,26/05/2003,00:00,2003,B62A,N,resident
20031MP45,1,M,GRETI,TB21664,26/05/2003,00:00,2003,MP45,N,resident
20031MP45,1,M,GRETI,TB21667,26/05/2003,00:00,2003,MP45,N,resident
20031O69,1,M,GRETI,VF63084,27/05/2003,00:00,2003,O69,N,resident
20031SW18,1,F,GRETI,VF63102,27/05/2003,00:00,2003,SW18,N,resident
20031EX55,1,F,GRETI,VH21716,27/05/2003,00:00,2003,EX55,N,resident
20031C36,1,NA,GRETI,TA15300,27/05/2003,00:00,2003,C36,N,resident
20031SW80,1,M,GRETI,VF63169,29/05/2003,00:00,2003,SW80,N,resident
20031SW80,1,F,GRETI,VF63170,29/05/2003,00:00,2003,SW80,N,resident
20031EX29A,1,M,GRETI,VR91385,29/05/2003,00:00,2003,EX29A,N,resident
20031EX47,1,F,GRETI,VR91379,29/05/2003,00:00,2003,EX47,N,resident
20031W11,1,M,GRETI,VS84968,29/05/2003,00:00,2003,W11,N,resident
20031W103A,1,F,GRETI,VS84959,29/05/2003,00:00,2003,W103A,N,resident
20031P18,1,M,GRETI,VF63141,30/05/2003,00:00,2003,P18,N,resident
20031SW130,1,M,GRETI,VF63351,04/06/2003,00:00,2003,SW130,N,resident
20031B24,1,M,GRETI,TB27018,06/06/2003,00:00,2003,B24,N,resident
20031EX62C,1,F,GRETI,VR98327,09/06/2003,00:00,2003,EX62C,N,resident
20031MP43,1,F,GRETI,TB27036,21/06/2003,00:00,2003,MP43,N,resident
20041O110,1,NA,GRETI,VF63757,24/04/2004,18:00,2004,O110,N,resident
20041P12,1,F,GRETI,VF63772,25/04/2004,00:00,2004,P12,N,resident
20041SW81,1,M,GRETI,VF63778,25/04/2004,00:00,2004,SW81,N,resident
20041SW81,1,F,GRETI,VF63781,25/04/2004,00:00,2004,SW81,N,resident
20041P24,1,F,GRETI,VF63759,25/04/2004,00:00,2004,P24,N,resident
20041P12,1,M,GRETI,VF63768,25/04/2004,00:00,2004,P12,N,resident
20041P24,1,M,GRETI,VF63762,25/04/2004,00:00,2004,P24,N,resident
20041O64,1,F,GRETI,VF63811,25/04/2004,00:00,2004,O64,N,resident
20041P12,1,NA,GRETI,VF63775,25/04/2004,00:00,2004,P12,N,resident
20041SW81,1,F,GRETI,VF63786,25/04/2004,00:00,2004,SW81,N,resident
