nb,x,y
C146,446628.72,206934.76
B5,447829.72,207426.76
B145,447527.72,207497.76
C50,446617.33,206815.71
C147,446621.72,206927.76
B44,447530.23,207487.25
C150,446621.33,206825.71
C153,446584.72,206789.76
B128,447731.72,207685.76
C144,446597.72,206983.76
B45,447522.72,207498.76
C154,446591.33,206803.71
B129,447715.72,207690.76
B147,447564.72,207496.76
C145,446610.72,206966.76
C43,446563.72,206999.76
C47,446632.72,206921.76
B141,447526.72,207414.76
B4,447845.72,207474.76
B34,447690.72,207545.76
C117,446435.72,206593.76
B66,447465.72,207511.76
C120,446434.72,206739.76
B204,447919.72,207754.76
B47,447547.72,207503.76
B2,447805.72,207531.76
B142,447504.72,207456.76
B38,447613.72,207496.76
O27A,445122.72,207833.76
B65,447475.72,207556.76
C26,446394.72,206812.76
C118,446455.72,206687.76
C59,446421.72,207056.76
B42,447521.72,207412.76
B170,447556.72,207397.76
C149,446631.33,206833.71
C52,446553.72,206780.76
B64,447470.72,207550.76
B70,447547.72,207358.76
B104,447838.32,207450.9
C111,446227.33,206593.71
B146,447556.72,207510.76
C139,446467.72,206984.76
B43,447567.72,207480.76
C12,446248.33,206605.71
B51,447646.72,207615.76
B179,447449.72,207766.76
B18,447895.72,207732.76
C138,446475.72,206954.76
B71,447568.72,207405.76
C140,446457.72,206999.76
B107,447777.74,207455.59
B205,447877.72,207724.76
B102,447821.72,207526.81
B208,447583.72,207817.76
B142A,447515.72,207445.76
B57,447524.72,207609.76
C128,446410.72,206785.76
C48,446661.33,206884.71
C44,446583.72,206987.76
C20,446430.72,206728.76
MP9,448078.72,207818.76
B20,447946.72,207757.76
C116,446404.72,206597.76
C119,446476.72,206708.76
C21,446460.72,206724.76
C60,446397.33,207064.71
B105,447818.72,207429.76
B1,447796.72,207573.76
B28,447745.72,207696.76
C121,446443.72,206706.76
B171,447580.72,207416.76
B84,447596.72,207823.76
B30,447699.72,207701.81
MP4,448057.72,207841.81
C124,446418.72,206798.76
B113,447736.72,207671.76
B106,447800.72,207405.76
B138,447590.72,207502.76
B110,447773.72,207567.76
B144,447505.72,207485.76
MP16,448190.72,207683.76
C42,446533.94,207017.58
B143,447534.72,207473.76
B72,447604.72,207421.76
B99A,447868.72,207555.76
B130,447703.72,207669.76
C115,446351.72,206586.76
B140,447545.19,207427.29
C141,446453.72,207041.76
B154,447536.72,207584.76
B170A,447554.72,207377.76
C148,446652.33,206898.76
B12,447764.69,207643.69
B29,447720.72,207711.76
C19,446464.72,206681.76
B103,447834.72,207496.76
B157,447520.72,207641.76
B56,447510.72,207575.76
